base,dim,rep_code,label,orbit_size,popcount,gf2_degree,gfq_degree,intmobius_degree,fill_poly,fill_deg,fill_lead,fill_n1,fill_n2,fill_n3,fill_n4,fill_n5,fill_n6,fill_n7,fill_n8,fill_n9,fill_n10,fill_n11,fill_n12,void_n1,void_n2,void_n3,void_n4,void_n5,void_n6,void_n7,void_n8,void_n9,void_n10,void_n11,void_n12
3,2,95,,36,6,,3,4,n≡0(mod 3): 2*n**2/3 ; n≡1(mod 3): 2*n**2/3 + 2*n/3 - 1/3 ; n≡2(mod 3): 2*n**2/3 + 2*n/3,2,2/3,1,4,6,13,20,24,37,48,54,73,88,96,0,0,3,3,5,12,12,16,27,27,33,48
3,2,118,,9,5,,4,3,n≡0(mod 3): 5*n**2/9 ; n≡1(mod 3): 5*n**2/9 - n/9 - 4/9 ; n≡2(mod 3): 5*n**2/9 + n/9 - 4/9,2,5/9,0,2,5,8,14,20,26,36,45,54,68,80,1,2,4,8,11,16,23,28,36,46,53,64
3,2,119,,36,6,,3,3,n≡0(mod 3): 2*n**2/3 ; n≡1(mod 3): 2*n**2/3 + n/3 ; n≡2(mod 3): 2*n**2/3 + n/3 - 1/3,2,2/3,1,3,6,12,18,24,35,45,54,70,84,96,0,1,3,4,7,12,14,19,27,30,37,48
3,2,127,,18,7,,4,3,n≡0(mod 3): 7*n**2/9 ; n≡1(mod 3): 7*n**2/9 + 4*n/9 - 2/9 ; n≡2(mod 3): 7*n**2/9 + 5*n/9 - 2/9,2,7/9,1,4,7,14,22,28,41,54,63,82,100,112,0,0,2,2,3,8,8,10,18,18,21,32
3,2,238,,6,6,,2,4,n≡0(mod 3): 2*n**2/3 ; n≡1(mod 3): 2*n**2/3 - 2/3 ; n≡2(mod 3): 2*n**2/3 - 2/3,2,2/3,0,2,6,10,16,24,32,42,54,66,80,96,1,2,3,6,9,12,17,22,27,34,41,48
3,2,239,,18,7,,4,4,n≡0(mod 3): 7*n**2/9 ; n≡1(mod 3): 7*n**2/9 + 4*n/9 - 2/9 ; n≡2(mod 3): 7*n**2/9 + 2*n/9 - 5/9,2,7/9,1,3,7,14,20,28,41,51,63,82,96,112,0,1,2,2,5,8,8,13,18,18,25,32
3,2,255,net,9,8,,4,4,n≡0(mod 3): 8*n**2/9 ; n≡1(mod 3): 8*n**2/9 + 2*n/9 - 1/9 ; n≡2(mod 3): 8*n**2/9 + 4*n/9 - 4/9,2,8/9,1,4,8,15,24,32,45,60,72,91,112,128,0,0,1,1,1,4,4,4,9,9,9,16
3,2,511,,1,9,,0,0,n**2,2,1,1,4,9,16,25,36,49,64,81,100,121,144,0,0,0,0,0,0,0,0,0,0,0,0
3,3,523,carpet,216,4,,6,4,n≡0(mod 3): 4*n**3/27 ; n≡1(mod 3): 4*n**3/27 + 5*n**2/9 + 4*n/9 - 4/27 ; n≡2(mod 3): 4*n**3/27 + 4*n**2/9 + 4*n/9 + 4/27,3,4/27,1,4,4,20,32,32,81,108,108,208,256,256,0,4,23,44,93,184,262,404,621,792,1075,1472
3,3,25034751,net,216,23,,6,6,n≡0(mod 3): 23*n**3/27 ; n≡1(mod 3): 23*n**3/27 + 4*n**2/9 - 4*n/9 + 4/27 ; n≡2(mod 3): 23*n**3/27 + 5*n**2/9 - 4*n/9 - 4/27,3,23/27,1,8,23,60,118,184,311,468,621,892,1196,1472,0,0,4,4,7,32,32,44,108,108,135,256
3,3,270592,void,36,3,,4,6,n≡0(mod 3): n**3/9 ; n≡1(mod 3): n**3/9 - 1/9 ; n≡2(mod 3): n**3/9 + 1/9,3,1/9,0,1,3,7,14,24,38,57,81,111,148,192,1,7,24,57,111,192,305,455,648,889,1183,1536
3,3,7,tree,27,3,,4,2,n≡0(mod 3): n**3/9 ; n≡1(mod 3): n**3/9 + 4*n**2/9 + 4*n/9 ; n≡2(mod 3): n**3/9 + 2*n**2/9 + n/9,3,1/9,1,2,3,16,20,24,63,72,81,160,176,192,0,6,24,48,105,192,280,440,648,840,1155,1536
