vicsek q 3 D 2 k 5 threads 8
n value seconds
0 0 0.000
1 5 0.000
2 16 0.000
3 90 0.000
4 418 0.000
5 2178 0.000
6 10560 0.000
7 54120 0.000
8 266478 0.001
9 1338422 0.001
10 6658480 0.003
11 33439772 0.004
12 166998096 0.008
13 835514606 0.023
14 4172530386 0.086
15 20870625484 0.339
16 104358870474 1.412
17 521861812652 5.827
18 2608901421978 24.311
19 13045240017140 106.616
20 65223970849890 755.450
