D,k,minpoly,degree,rho,classes,rules,code,windows,kappa_min,kappa_max,strict,name
1,4,x^6 - x^5 - 2*x^3 + 1,6,1.651736555054,4,12,15199,11,0.140874,0.201126,1,
1,4,x^6 - 2*x^5 + x^4 - 2*x^2 + 2*x - 1,6,1.651060180292,1,2,63935,13,0.201717,0.201717,1,
1,4,x^6 - x^4 - x^3 - 2*x^2 - x - 1,6,1.645411573663,2,4,28599,12,0.177792,0.206661,1,
1,4,x^6 - x^5 - x^4 + x^3 - 2*x^2 + x - 1,6,1.638457063076,1,2,32191,13,0.212772,0.212772,1,
1,4,x^2 - x - 1,2,1.618033988749,193,680,1847,8,0.055758,0.257597,1,golden
1,4,x^7 - x^6 - x^4 - x^2 - 1,7,1.601347333787,1,4,23487,12,0.216954,0.216954,1,
1,4,x^7 - 3*x^6 + 4*x^5 - 4*x^4 + 3*x^3 - 2*x^2 + x - 1,7,1.599279160450,1,4,55743,12,0.218819,0.218819,1,
1,4,x^8 - x^7 - x^4 - x^3 - x^2 - x - 1,8,1.595642846993,1,4,23039,12,0.222103,0.222103,1,
1,4,x^8 - x^7 - x^5 - x^2 - x - 1,8,1.592161674686,1,4,31215,12,0.225254,0.225254,1,
1,4,x^7 - 2*x^6 + x^5 - x^2 - 1,7,1.589530584037,1,4,55791,12,0.22764,0.22764,1,
1,4,x^8 - 2*x^7 + 2*x^5 - 2*x^4 + x^3 - 1,8,1.588483049312,1,4,56759,12,0.228591,0.228591,1,
1,4,x^8 - x^7 - x^6 + x^5 - x^4 - x - 1,8,1.586043235074,1,4,24055,12,0.230809,0.230809,1,
1,4,x^7 - x^6 - x^4 - x^3 + 1,7,1.585644894988,1,2,31647,12,0.231171,0.231171,1,
1,4,x^8 - x^5 - 2*x^4 - 2*x^3 - 2*x^2 - 2*x - 1,8,1.584578647078,1,4,23550,12,0.232141,0.232141,1,
1,4,x^6 - x^5 - x^4 + x^3 - x^2 - 1,6,1.584386796759,1,4,23999,12,0.232316,0.232316,1,
1,4,x^7 - x^6 - x^5 + x^4 - x^3 - x^2 + 1,7,1.581333455019,4,12,5503,10,0.16934,0.235099,1,
1,4,x^7 - x^6 - x^3 - x^2 - x - 1,7,1.579929406145,1,4,23535,12,0.236381,0.236381,1,
1,4,x^5 - x^4 - x^3 + x^2 - 2*x + 1,5,1.579263637121,1,4,28095,12,0.236989,0.236989,1,
1,4,x^7 - 2*x^6 + x^5 - x^4 + x^3 - 1,7,1.578174860044,2,8,28155,12,0.237984,0.237984,1,
1,4,x^7 - x^6 - x^4 - x - 1,7,1.573477687756,2,8,23543,12,0.242284,0.242284,1,
1,4,x^5 - x^4 - x^2 - 1,5,1.570147312196,15,54,11639,10,0.179582,0.27421,1,
1,4,x^4 - x^2 - x - 2,4,1.566383277266,1,4,28158,12,0.248803,0.248803,1,
1,4,x^6 - x^5 - x^3 - x^2 + 1,6,1.563610695591,4,12,6014,10,0.185601,0.251359,1,
1,4,x^6 - 2*x^5 + x^4 - x^2 + x - 1,6,1.561752067720,10,38,7543,10,0.187317,0.253075,1,
1,4,x^4 - x^3 - 2*x + 1,4,1.558979877981,6,24,12127,11,0.224256,0.284508,1,
