name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
bang_dim=3_code=0,0,1,iso,-1,0,0 0 0 0,0,0,0,0,-1,0,1
bang_dim=3_code=1,1,8,iso,3,1,1 0 0 0,3,3,3,3,3,1,3
bang_dim=3_code=3,3,12,axis,2,2,2 -1 0 0,2,2,2,2,2,1,2
bang_dim=3_code=6,6,12,comp,2,2,2 -2 0 0,3,3,3,3,3,2,3
bang_dim=3_code=7,7,24,comp,3,3,3 -2 0 0,2,2,2,3,3,2,2
bang_dim=3_code=15,15,6,axis,1,4,4 -4 1 0,1,1,1,1,1,1,1
bang_dim=3_code=22,22,8,iso,3,3,3 -3 0 0,3,3,3,3,3,3,4
bang_dim=3_code=23,23,8,iso,2,4,4 -3 0 0,2,2,2,3,3,3,3
bang_dim=3_code=24,24,4,iso,2,2,2 -3 1 0,3,3,3,3,2,2,3
bang_dim=3_code=25,25,24,comp,3,3,3 -3 1 0,3,3,3,3,3,2,3
bang_dim=3_code=27,27,24,comp,2,4,4 -4 1 0,2,2,2,2,2,2,2
bang_dim=3_code=30,30,24,comp,2,4,4 -5 1 0,3,3,3,3,3,3,3
bang_dim=3_code=31,31,24,comp,3,5,5 -5 1 0,2,2,2,3,3,2,2
bang_dim=3_code=60,60,6,comp,1,4,4 -6 2 0,2,2,2,2,2,2,2
bang_dim=3_code=61,61,24,comp,3,5,5 -6 2 0,3,3,3,3,3,3,2
bang_dim=3_code=63,63,12,comp,2,6,6 -7 2 0,2,2,2,2,2,2,1
bang_dim=3_code=105,105,2,iso,1,4,4 -6 3 0,3,3,3,3,3,4,4
bang_dim=3_code=107,107,8,iso,3,5,5 -7 3 0,3,3,3,3,3,4,3
bang_dim=3_code=111,111,12,comp,2,6,6 -8 3 0,3,3,3,3,3,3,2
bang_dim=3_code=126,126,4,iso,2,6,6 -9 3 0,3,3,3,3,2,3,2
bang_dim=3_code=127,127,8,iso,3,7,7 -9 3 0,3,3,3,3,3,3,1
bang_dim=3_code=255,255,1,iso,0,8,8 -12 6 -1,0,0,0,0,0,1,0
