name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
bang_dim=4_code=5767,5767,192,comp,4,7,7 -11 6 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=5769,5769,64,comp,3,6,6 -11 7 -1 0,4,4,4,4,4,5,7
bang_dim=4_code=5771,5771,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=5774,5774,192,comp,4,7,7 -13 7 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=5775,5775,192,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=5782,5782,64,comp,4,7,7 -12 6 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=5783,5783,64,comp,3,8,8 -12 6 -1 0,4,4,4,4,3,5,5
bang_dim=4_code=5784,5784,96,comp,3,6,6 -12 7 -1 0,4,4,4,4,4,4,6
bang_dim=4_code=5785,5785,192,comp,4,7,7 -12 7 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=5786,5786,384,comp,4,7,7 -13 7 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=5787,5787,384,comp,3,8,8 -13 7 -1 0,4,4,4,4,4,5,5
bang_dim=4_code=5790,5790,192,comp,3,8,8 -14 7 -1 0,3,3,3,3,3,4,4
bang_dim=4_code=5791,5791,192,comp,4,9,9 -14 7 -1 0,4,4,4,4,4,5,4
bang_dim=4_code=5801,5801,96,comp,4,7,7 -13 8 -1 0,4,4,4,4,4,6,7
bang_dim=4_code=5803,5803,96,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=5804,5804,192,comp,4,7,7 -14 8 -1 0,4,4,4,4,4,5,6
bang_dim=4_code=5805,5805,384,comp,3,8,8 -14 8 -1 0,4,4,4,4,4,6,6
bang_dim=4_code=5806,5806,384,comp,3,8,8 -15 8 -1 0,4,4,4,4,4,4,5
bang_dim=4_code=5807,5807,384,comp,4,9,9 -15 8 -1 0,4,4,4,4,4,5,5
