name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
mrly_00510,510,64,comp,3,8,8 -13 6 -1 0,4,4,4,4,4,4,4
mrly_00511,511,64,comp,4,9,9 -13 6 -1 0,3,3,3,4,4,2,3
mrly_00828,828,32,comp,3,6,6 -9 3 0 0,3,3,3,3,3,3,4
mrly_00829,829,64,comp,4,7,7 -9 3 0 0,4,4,4,4,4,4,4
mrly_00831,831,32,comp,2,8,8 -10 3 0 0,2,2,2,3,3,3,3
mrly_00854,854,48,comp,2,6,6 -8 2 0 0,4,4,4,4,4,4,5
mrly_00855,855,48,comp,4,7,7 -8 2 0 0,2,2,2,4,4,2,4
mrly_00856,856,192,comp,4,5,5 -8 3 0 0,4,4,4,4,4,3,5
mrly_00857,857,192,comp,2,6,6 -8 3 0 0,4,4,4,4,4,4,5
mrly_00858,858,384,comp,3,6,6 -9 3 0 0,3,3,3,3,3,3,4
mrly_00859,859,384,comp,4,7,7 -9 3 0 0,3,3,3,4,4,3,4
mrly_00862,862,192,comp,4,7,7 -10 3 0 0,4,4,4,4,4,4,4
mrly_00863,863,192,comp,3,8,8 -10 3 0 0,2,2,2,3,3,3,3
mrly_00872,872,192,comp,4,5,5 -9 4 0 0,4,4,4,4,4,4,6
mrly_00873,873,192,comp,3,6,6 -9 4 0 0,4,4,4,4,4,5,6
mrly_00874,874,192,comp,2,6,6 -10 4 0 0,4,4,4,4,4,4,5
mrly_00875,875,192,comp,4,7,7 -10 4 0 0,4,4,4,4,4,4,5
mrly_00876,876,384,comp,3,6,6 -10 4 0 0,4,4,4,4,4,4,5
mrly_00877,877,384,comp,4,7,7 -10 4 0 0,4,4,4,4,4,5,5
mrly_00878,878,384,comp,4,7,7 -11 4 0 0,3,3,3,4,4,4,4
mrly_00879,879,384,comp,3,8,8 -11 4 0 0,3,3,3,4,4,4,4
mrly_00892,892,192,comp,4,7,7 -11 4 0 0,3,3,3,4,4,4,4
mrly_00893,893,192,comp,3,8,8 -11 4 0 0,4,4,4,4,4,4,4
mrly_00894,894,192,comp,3,8,8 -12 4 0 0,4,4,4,4,3,4,4
mrly_00895,895,192,comp,4,9,9 -12 4 0 0,3,3,3,4,4,4,3
mrly_00960,960,16,comp,2,4,4 -8 5 -1 0,3,3,3,3,2,2,3
mrly_00961,961,192,comp,4,5,5 -8 5 -1 0,3,3,3,4,4,3,4
mrly_00963,963,96,comp,3,6,6 -9 5 -1 0,3,3,3,3,3,2,3
mrly_00965,965,192,comp,3,6,6 -9 5 -1 0,3,3,3,3,3,3,3
mrly_00966,966,192,comp,3,6,6 -10 5 -1 0,3,3,3,4,4,4,4
mrly_00967,967,384,comp,4,7,7 -10 5 -1 0,3,3,3,4,4,3,3
mrly_00975,975,96,comp,2,8,8 -12 6 -1 0,2,2,2,2,2,2,2
mrly_00980,980,192,comp,3,6,6 -10 5 -1 0,3,3,3,4,4,4,5
mrly_00981,981,192,comp,4,7,7 -10 5 -1 0,3,3,3,4,4,3,4
mrly_00982,982,192,comp,4,7,7 -11 5 -1 0,4,4,4,4,4,5,5
mrly_00983,983,192,comp,3,8,8 -11 5 -1 0,3,3,3,4,4,3,4
mrly_00984,984,192,comp,3,6,6 -11 6 -1 0,3,3,3,3,3,3,4
mrly_00985,985,384,comp,4,7,7 -11 6 -1 0,3,3,3,4,4,4,4
mrly_00987,987,192,comp,3,8,8 -12 6 -1 0,3,3,3,3,3,3,4
mrly_00988,988,384,comp,4,7,7 -12 6 -1 0,3,3,3,4,4,3,4
mrly_00989,989,384,comp,3,8,8 -12 6 -1 0,3,3,3,3,3,3,3
mrly_00990,990,384,comp,3,8,8 -13 6 -1 0,4,4,4,4,4,4,4
mrly_00991,991,384,comp,4,9,9 -13 6 -1 0,3,3,3,4,4,3,3
mrly_01020,1020,96,comp,2,8,8 -14 7 -1 0,3,3,3,3,3,3,3
mrly_01021,1021,192,comp,4,9,9 -14 7 -1 0,4,4,4,4,4,4,3
mrly_01023,1023,96,comp,3,10,10 -15 7 -1 0,2,2,2,3,3,2,2
mrly_01632,1632,12,comp,2,4,4 -8 4 0 0,4,4,4,4,4,4,4
mrly_01633,1633,48,comp,4,5,5 -8 4 0 0,4,4,4,4,4,5,6
mrly_01634,1634,96,comp,4,5,5 -9 4 0 0,4,4,4,4,4,4,4
mrly_01635,1635,192,comp,3,6,6 -9 4 0 0,4,4,4,4,4,5,5
mrly_01638,1638,48,comp,3,6,6 -10 4 0 0,3,3,3,4,4,4,3
mrly_01639,1639,96,comp,4,7,7 -10 4 0 0,3,3,3,4,4,5,4
mrly_01641,1641,48,comp,3,6,6 -10 5 0 0,4,4,4,4,4,6,7
mrly_01643,1643,96,comp,4,7,7 -11 5 0 0,4,4,4,4,4,6,6
mrly_01647,1647,48,comp,2,8,8 -12 5 0 0,3,3,3,4,4,5,5
mrly_01650,1650,192,comp,3,6,6 -10 4 0 0,4,4,4,4,4,4,4
mrly_01651,1651,192,comp,4,7,7 -10 4 0 0,4,4,4,4,4,4,4
mrly_01654,1654,192,comp,4,7,7 -11 4 0 0,3,3,3,4,4,4,3
mrly_01655,1655,192,comp,3,8,8 -11 4 0 0,3,3,3,4,4,4,3
mrly_01656,1656,192,comp,3,6,6 -11 5 0 0,4,4,4,4,4,5,6
mrly_01657,1657,192,comp,4,7,7 -11 5 0 0,4,4,4,4,4,6,6
mrly_01658,1658,384,comp,4,7,7 -12 5 0 0,4,4,4,4,4,5,5
mrly_01659,1659,384,comp,3,8,8 -12 5 0 0,4,4,4,4,4,5,5
mrly_01662,1662,192,comp,3,8,8 -13 5 0 0,3,3,3,4,4,5,4
mrly_01663,1663,192,comp,4,9,9 -13 5 0 0,3,3,3,4,4,5,4
mrly_01680,1680,24,comp,2,4,4 -8 5 -1 0,4,4,4,4,3,4,5
mrly_01681,1681,192,comp,4,5,5 -8 5 -1 0,4,4,4,4,4,4,5
mrly_01683,1683,192,comp,3,6,6 -9 5 -1 0,4,4,4,4,3,4,5
mrly_01686,1686,96,comp,3,6,6 -10 5 -1 0,4,4,4,4,4,4,5
mrly_01687,1687,192,comp,4,7,7 -10 5 -1 0,4,4,4,4,4,4,5
mrly_01695,1695,48,comp,2,8,8 -12 6 -1 0,3,3,3,3,3,4,4
