name,code,orbit,genus,gf2deg,pop,fingerprint,s,bs,C,dt,deg,dnf,cnf
mrly_000,0,1,iso,-1,0,0 0 0 0,0,0,0,0,-1,0,1
mrly_001,1,8,iso,3,1,1 0 0 0,3,3,3,3,3,1,3
mrly_003,3,12,axis,2,2,2 -1 0 0,2,2,2,2,2,1,2
mrly_006,6,12,comp,2,2,2 -2 0 0,3,3,3,3,3,2,3
mrly_007,7,24,comp,3,3,3 -2 0 0,2,2,2,3,3,2,2
mrly_015,15,6,axis,1,4,4 -4 1 0,1,1,1,1,1,1,1
mrly_022,22,8,iso,3,3,3 -3 0 0,3,3,3,3,3,3,4
mrly_023,23,8,iso,2,4,4 -3 0 0,2,2,2,3,3,3,3
mrly_024,24,4,iso,2,2,2 -3 1 0,3,3,3,3,2,2,3
mrly_025,25,24,comp,3,3,3 -3 1 0,3,3,3,3,3,2,3
mrly_027,27,24,comp,2,4,4 -4 1 0,2,2,2,2,2,2,2
mrly_030,30,24,comp,2,4,4 -5 1 0,3,3,3,3,3,3,3
mrly_031,31,24,comp,3,5,5 -5 1 0,2,2,2,3,3,2,2
mrly_060,60,6,comp,1,4,4 -6 2 0,2,2,2,2,2,2,2
mrly_061,61,24,comp,3,5,5 -6 2 0,3,3,3,3,3,3,2
mrly_063,63,12,comp,2,6,6 -7 2 0,2,2,2,2,2,2,1
mrly_105,105,2,iso,1,4,4 -6 3 0,3,3,3,3,3,4,4
mrly_107,107,8,iso,3,5,5 -7 3 0,3,3,3,3,3,4,3
mrly_111,111,12,comp,2,6,6 -8 3 0,3,3,3,3,3,3,2
mrly_126,126,4,iso,2,6,6 -9 3 0,3,3,3,3,2,3,2
mrly_127,127,8,iso,3,7,7 -9 3 0,3,3,3,3,3,3,1
mrly_255,255,1,iso,0,8,8 -12 6 -1,0,0,0,0,0,1,0
