carpet q 3 D 2 k 8 threads 8
n value seconds
0 0 0.000
1 4 0.000
2 32 0.000
3 274 0.000
4 2320 0.000
5 19178 0.001
6 155392 0.001
7 1248416 0.002
8 10013432 0.002
9 80226680 0.003
10 642182854 0.005
11 5138968090 0.007
12 41117712068 0.012
13 328967430388 0.029
14 2631822322616 0.088
15 21054946704430 0.342
16 168441094108548 1.407
17 1347534794799632 5.840
18 10780302706880118 24.523
19 86242507134592434 105.554
20 689940382385716778 463.271
